millis,pdsi,system:index
1023170400000,-1.9700109499546117,20020604
1023602400000,-1.9628873031097436,20020609
1024034400000,-1.954268991288641,20020614
1024466400000,-1.9793145364104625,20020619
1024898400000,-2.0263201474978683,20020624
1025330400000,-2.067325742910531,20020629
1025762400000,-2.1030192107043284,20020704
1026194400000,-2.1268506185392373,20020709
1026626400000,-2.143937958727431,20020714
1027058400000,-2.158391190036075,20020719
1027490400000,-2.1787765144072724,20020724
1027922400000,-2.18681169044139,20020729
1028354400000,-2.187239063342316,20020803
1028786400000,-2.184643419505162,20020808
1029218400000,-2.180557986615189,20020813
1029650400000,-2.18166867534494,20020818
1030082400000,-2.1832479369231548,20020823
1030514400000,-2.183472768230792,20020828
1030946400000,-2.1872768631056756,20020902
1031378400000,-2.179073495596754,20020907
1031810400000,-2.1774633211154524,20020912
1032242400000,-2.1789365461060997,20020917
1032674400000,-2.1881019322457402,20020922
1033106400000,-2.212871107767635,20020927
1033538400000,-2.233377960025856,20021002
1033970400000,-2.2725866469324245,20021007
1034402400000,-2.315322104708453,20021012
1034834400000,-2.3697678742376893,20021017
1035266400000,-2.4269436728572704,20021022
1035698400000,-2.4885111697571114,20021027
1036130400000,-2.581763468335093,20021101
1036562400000,-2.680422457453252,20021106
1036994400000,-2.411249856541215,20021111
1037426400000,-2.1734542113251236,20021116
1037858400000,-1.9334106287247648,20021121
1038290400000,-1.6802832770479519,20021126
1038722400000,-1.4730325054526585,20021201
1039154400000,-1.3317004211273489,20021206
1039586400000,-1.422063988183221,20021211
1040018400000,-1.3660225049803316,20021216
1040450400000,-1.2347481244819163,20021221
1040882400000,-1.0946881082081903,20021226
1041314400000,-0.900396180232466,20021231
1041746400000,-0.76504358920899,20030105
1042178400000,-0.645885664793543,20030110
1042610400000,-0.6655809665712742,20030115
1043042400000,-0.7102611169709204,20030120
1043474400000,-0.740993206127834,20030125
1043906400000,-0.795212614968353,20030130
1044338400000,-0.8418837544033629,20030204
1044770400000,-0.9015934794693896,20030209
1045202400000,-0.9635348334844381,20030214
1045634400000,-1.0401753025372336,20030219
1046066400000,-1.1248134423611547,20030224
1046498400000,-1.201493945601974,20030301
1046930400000,-1.2997949275794984,20030306
1047362400000,-1.403495885717037,20030311
1047794400000,-1.4854454221891973,20030316
1048226400000,-1.5508017237431133,20030321
1048658400000,-1.5893803698264932,20030326
1049090400000,-1.6455390647106298,20030331
1049522400000,-1.6314651734141872,20030405
1049954400000,-1.6069415105732003,20030410
1050386400000,-1.5553582953753016,20030415
1050818400000,-1.4565644597828804,20030420
1051250400000,-1.2151784510286492,20030425
1051682400000,-0.839399577078103,20030430
1052114400000,-0.3055150052418061,20030505
1052546400000,0.6776407475552911,20030510
1052978400000,1.0721162870178182,20030515
1053410400000,1.3149938775975336,20030520
1053842400000,1.4386706443639665,20030525
1054274400000,1.5099310445459704,20030530
1054706400000,1.5155389005612974,20030604
1055138400000,1.4766571803913846,20030609
1055570400000,1.4441308242147368,20030614
1056002400000,1.4419488526931428,20030619
1056434400000,1.4459513521739729,20030624
1056866400000,1.415491030776097,20030629
1057298400000,1.3389584294803696,20030704
1057730400000,1.2505765076773954,20030709
1058162400000,1.1718645490431336,20030714
1058594400000,1.1087403559966251,20030719
1059026400000,1.0554449793116316,20030724
1059458400000,1.0261043822074032,20030729
1059890400000,1.0972972133778112,20030803
1060322400000,1.1824280771417757,20030808
1060754400000,1.2798618138542621,20030813
1061186400000,1.3814266137992264,20030818
1061618400000,1.55782406457356,20030823
1062050400000,1.7392326388943897,20030828
1062482400000,1.7876237571150317,20030902
1062914400000,1.8558964511480642,20030907
1063346400000,1.9001249646418275,20030912
1063778400000,1.916595521396456,20030917
1064210400000,1.8678743656215653,20030922
1064642400000,1.787923375978132,20030927
1065074400000,1.6908017812432818,20031002
1065506400000,1.5627297272927334,20031007
1065938400000,1.4305786488165966,20031012
1066370400000,1.2842581685317305,20031017
1066802400000,1.1204191176463225,20031022
1067234400000,0.931567052927012,20031027
1067666400000,0.7265264561944481,20031101
1068098400000,0.5268985209054353,20031106
1068530400000,0.432706182885568,20031111
1068962400000,0.39108559284764294,20031116
1069394400000,0.28488411297403754,20031121
1069826400000,0.1716751577741025,20031126
1070258400000,0.03353269290420498,20031201
1070690400000,-0.07879392954215393,20031206
1071122400000,-0.1627922201679066,20031211
1071554400000,-0.2573152563301197,20031216
1071986400000,-0.35819046152690803,20031221
1072418400000,-0.29251128797049064,20031226
1072850400000,-0.22298251869917,20031231
1073282400000,-0.14949660037133375,20040105
1073714400000,-0.12812462567048158,20040110
1074146400000,-0.13445877322067512,20040115
1074578400000,-0.13164546439881233,20040120
1075010400000,-0.1813129360146563,20040125
1075442400000,-0.24316005569791174,20040130
1075874400000,-0.3219330431976446,20040204
1076306400000,-0.4178260777986696,20040209
1076738400000,-0.5383882554576991,20040214
1077170400000,-0.6332832273099849,20040219
1077602400000,-0.6962835834945775,20040224
1078034400000,-0.655289472035227,20040229
1078466400000,-0.6512160602079785,20040305
1078898400000,-0.6362042888030662,20040310
1079330400000,-0.6081289293450883,20040315
1079762400000,-0.6709217776250828,20040320
1080194400000,-0.7618973295902999,20040325
1080626400000,-0.9025228466351581,20040330
1081058400000,-1.0336168063614304,20040404
1081490400000,-1.1523365380535915,20040409
1081922400000,-1.2721034540702356,20040414
1082354400000,-1.3829126401605705,20040419
1082786400000,-1.4883818858544975,20040424
1083218400000,-1.6133854035834592,20040429
1083650400000,-1.7643471767311134,20040504
1084082400000,-1.910446001578422,20040509
1084514400000,-2.025607353506927,20040514
1084946400000,-2.1339223168294863,20040519
1085378400000,-2.2468128150296374,20040524
1085810400000,-2.3522780204208384,20040529
1086242400000,-2.4601432255312274,20040603
1086674400000,-2.548815037569927,20040608
1087106400000,-2.6168508581320786,20040613
1087538400000,-2.6655257517477438,20040618
1087970400000,-2.7026976513052126,20040623
1088402400000,-2.757641724029484,20040628
1088834400000,-2.7939816836089078,20040703
1089266400000,-2.812629824477461,20040708
1089698400000,-2.8268986705217416,20040713
1090130400000,-2.831239570546631,20040718
1090562400000,-2.8379608113604857,20040723
1090994400000,-2.8366429287982733,20040728
1091426400000,-2.83656760236762,20040802
1091858400000,-2.8314044783831043,20040807
1092290400000,-2.8204928170521053,20040812
1092722400000,-2.800770830533107,20040817
1093154400000,-2.7740595428349395,20040822
1093586400000,-2.7423462126047107,20040827
1094018400000,-2.7149321801799937,20040901
1094450400000,-2.6883486805602805,20040906
1094882400000,-2.6683726299178274,20040911
1095314400000,-2.6649194926319466,20040916
1095746400000,-2.6564720520083904,20040921
1096178400000,-2.664055053413265,20040926
1096610400000,-2.665091012070179,20041001
1097042400000,-2.6806811928231875,20041006
1097474400000,-2.6993519875241936,20041011
1097906400000,-2.7275410095701527,20041016
1098338400000,-2.442169525828085,20041021
1098770400000,-2.083057288391568,20041026
1099202400000,-1.7370824849361846,20041031
1099634400000,-1.3217938232478408,20041105
1100066400000,-0.7978161422144466,20041110
1100498400000,-0.0833410101670573,20041115
1100930400000,0.010565077076435638,20041120
1101362400000,-0.03748472224330256,20041125
1101794400000,-0.05935716156885792,20041130
1102226400000,-0.10660337031750212,20041205
1102658400000,-0.12741508595963671,20041210
1103090400000,-0.17217006151069597,20041215
1103522400000,-0.24744971064900947,20041220
1103954400000,-0.32807321548191637,20041225
1104386400000,-0.34231997384170315,20041230
1104904800000,-0.29341995296129736,20050105
1105336800000,-0.11311793256122148,20050110
1105768800000,0.08506322075111103,20050115
1106200800000,0.29884781380314646,20050120
1106632800000,0.44145021612715296,20050125
1107064800000,0.5142230093934979,20050130
1107496800000,0.590131741571126,20050204
1107928800000,0.5346036601096277,20050209
1108360800000,0.47010575779091296,20050214
1108792800000,0.42894134931293254,20050219
1109224800000,0.42727782409631204,20050224
1109656800000,0.4056128405158761,20050301
1110088800000,0.38265303577983517,20050306
1110520800000,0.347822848169074,20050311
1110952800000,0.29248934853003344,20050316
1111384800000,0.26564203717962426,20050321
1111816800000,0.29048546782763035,20050326
1112248800000,0.347212321833083,20050331
1112680800000,0.44024532861603455,20050405
1113112800000,0.604837408696814,20050410
1113544800000,0.7981456798717279,20050415
1113976800000,0.9531003716844597,20050420
1114408800000,0.9774023824485318,20050425
1114840800000,0.968169594167069,20050430
1115272800000,0.9981830942125696,20050505
1115704800000,1.1442950673093728,20050510
1116136800000,1.3901541778430422,20050515
1116568800000,1.9717460508647493,20050520
1117000800000,2.331001386686819,20050525
1117432800000,2.5742545706246114,20050530
1117864800000,2.7857590962904575,20050604
1118296800000,2.9229448452385576,20050609
1118728800000,3.0683456897495014,20050614
1119160800000,3.151239810161791,20050619
1119592800000,3.2548088094309198,20050624
1120024800000,3.3612133665341832,20050629
1120456800000,3.479452340951665,20050704
1120888800000,3.53741521697146,20050709
1121320800000,3.5936829370870655,20050714
1121752800000,3.556625756794593,20050719
1122184800000,3.532193448811698,20050724
1122616800000,3.519705500193498,20050729
1123048800000,3.5131463181486544,20050803
1123480800000,3.4549693758728774,20050808
1123912800000,3.4024948187712276,20050813
1124344800000,3.350366193268291,20050818
1124776800000,3.3015991486133665,20050823
1125208800000,3.258913278473542,20050828
1125640800000,3.2188025377578797,20050902
1126072800000,3.16293278707566,20050907
1126504800000,3.1150925278906008,20050912
1126936800000,3.0421506571876136,20050917
1127368800000,2.979762169802207,20050922
1127800800000,2.9282607078925977,20050927
1128232800000,2.8675561341107967,20051002
1128664800000,2.78781091776275,20051007
1129096800000,2.6940076352778477,20051012
1129528800000,2.6046912845386685,20051017
1129960800000,2.5091570383880897,20051022
1130392800000,2.4252425866210503,20051027
1130824800000,2.338445853459134,20051101
1131256800000,2.26586645969633,20051106
1131688800000,2.1967637152759445,20051111
1132120800000,2.0921840786957975,20051116
1132552800000,1.959758902468361,20051121
1132984800000,1.806346903766142,20051126
1133416800000,1.7448160234387402,20051201
1133848800000,1.7010605179214762,20051206
1134280800000,1.6280997883043151,20051211
1134712800000,1.5421597024394083,20051216
1135144800000,1.5449235744837035,20051221
1135576800000,1.5738911267858686,20051226
1136008800000,1.684734977234713,20051231
1136440800000,1.8598880911587388,20060105
1136872800000,1.9936132221456546,20060110
1137304800000,2.094522833531824,20060115
1137736800000,2.176920367013302,20060120
1138168800000,2.218439628509734,20060125
1138600800000,2.199033384192498,20060130
1139032800000,2.11893340693446,20060204
1139464800000,2.032724613015769,20060209
1139896800000,1.927183107453197,20060214
1140328800000,1.8054544902009666,20060219
1140760800000,1.6885106147105342,20060224
1141192800000,1.61198447218531,20060301
1141624800000,1.5615621782106128,20060306
1142056800000,1.5530472594108737,20060311
1142488800000,1.590509490150743,20060316
1142920800000,1.6853314659359424,20060321
1143352800000,1.7813013770365138,20060326
1143784800000,1.8745535617618145,20060331
1144216800000,2.081019168519934,20060405
1144648800000,2.3089869769904228,20060410
1145080800000,2.5628040910305687,20060415
1145512800000,2.909830718163779,20060420
1145944800000,3.329724832680299,20060425
1146376800000,3.6308015046279434,20060430
1146808800000,3.6710723240168197,20060505
1147240800000,3.680701435621603,20060510
1147672800000,3.6483147129303024,20060515
1148104800000,3.5650689316469606,20060520
1148536800000,3.5155699867827246,20060525
1148968800000,3.483995266910333,20060530
1149400800000,3.4537153309068653,20060604
1149832800000,3.426563151220591,20060609
1150264800000,3.3837579707393077,20060614
1150696800000,3.3127461161994236,20060619
1151128800000,3.1979241366805096,20060624
1151560800000,3.0929715876169475,20060629
1151992800000,3.0017619322248126,20060704
1152424800000,2.924626449608958,20060709
1152856800000,2.843485842754032,20060714
1153288800000,2.7545373293278734,20060719
1153720800000,2.690105796598929,20060724
1154152800000,2.6359163575784765,20060729
1154584800000,2.585984723018738,20060803
1155016800000,2.5399159051243685,20060808
1155448800000,2.4997513114605825,20060813
1155880800000,2.457396325492356,20060818
1156312800000,2.382084191462366,20060823
1156744800000,2.296369656345804,20060828
1157176800000,2.210172974974217,20060902
1157608800000,2.1272506972830403,20060907
1158040800000,2.0391806587902166,20060912
1158472800000,1.9456388037083736,20060917
1158904800000,1.8418875784563877,20060922
1159336800000,1.7142097143393424,20060927
1159768800000,1.5863618982271679,20061002
1160200800000,1.4826674229567702,20061007
1160632800000,1.3919492388841832,20061012
1161064800000,1.29627857840541,20061017
1161496800000,1.1907715517288064,20061022
1161928800000,1.0715415333264902,20061027
1162360800000,0.8957067807652993,20061101
1162792800000,0.7550010245071358,20061106
1163224800000,0.5855481877909162,20061111
1163656800000,0.48113028261777246,20061116
1164088800000,0.3444725298668805,20061121
1164520800000,0.2021068133623239,20061126
1164952800000,0.054261068818612326,20061201
1165384800000,-0.12555293503107845,20061206
1165816800000,-0.31487270169251746,20061211
1166248800000,-0.5069565594579711,20061216
1166680800000,-0.6810099726928368,20061221
1167112800000,-0.852389056398949,20061226
1167544800000,-0.9974214385936712,20061231
1167976800000,-1.1183661142347192,20070105
1168408800000,-1.2369984435054935,20070110
1168840800000,-1.3471025009886095,20070115
1169272800000,-1.4512826872789577,20070120
1169704800000,-1.5313750941258144,20070125
1170136800000,-1.626474009589499,20070130
1170568800000,-1.7008486103802507,20070204
1171000800000,-1.7727471961839836,20070209
1171432800000,-1.8149931375989965,20070214
1171864800000,-1.8644742073674168,20070219
1172296800000,-1.882543157214779,20070224
1172728800000,-1.8652992937581367,20070301
1173160800000,-1.8558424166449035,20070306
1173592800000,-1.8563342007841919,20070311
1174024800000,-1.9143070853527215,20070316
1174456800000,-1.948558073456039,20070321
1174888800000,-1.9959040563036157,20070326
1175320800000,-2.069722811895851,20070331
1175752800000,-2.1309607421898833,20070405
1176184800000,-2.196445440562233,20070410
1176616800000,-2.243710981696171,20070415
1177048800000,-2.30021216202481,20070420
1177480800000,-2.317140413493637,20070425
1177912800000,-2.3409903059373,20070430
1178344800000,-2.314405015395257,20070505
1178776800000,-2.280638074646214,20070510
1179208800000,-2.265362451680006,20070515
1179640800000,-2.2661625521693765,20070520
1180072800000,-2.311491357063118,20070525
1180504800000,-2.3922326483151464,20070530
1180936800000,-2.4978074250189044,20070604
1181368800000,-2.5645113667059682,20070609
1181800800000,-2.620697722091528,20070614
1182232800000,-2.6660470648205896,20070619
1182664800000,-2.718981052219935,20070624
1183096800000,-2.766481841296386,20070629
1183528800000,-2.805883306102001,20070704
1183960800000,-2.8430333009763458,20070709
1184392800000,-2.8676140625978577,20070714
1184824800000,-2.8778059293424647,20070719
1185256800000,-2.8856582667872854,20070724
1185688800000,-2.8790611029747657,20070729
1186120800000,-2.864501227878924,20070803
1186552800000,-2.846305559564457,20070808
1186984800000,-2.822873231443674,20070813
1187416800000,-2.8038097833894886,20070818
1187848800000,-2.787617627071641,20070823
1188280800000,-2.767000383158147,20070828
1188712800000,-2.719268538479104,20070902
1189144800000,-2.6720719298430557,20070907
1189576800000,-2.6319734485056876,20070912
1190008800000,-2.5989491401468436,20070917
1190440800000,-2.528922788061768,20070922
1190872800000,-2.4745622952258968,20070927
1191304800000,-2.4332364713437484,20071002
1191736800000,-2.364625634070637,20071007
1192168800000,-2.2698100150169553,20071012
1192600800000,-2.180050615749818,20071017
1193032800000,-2.101349018609073,20071022
1193464800000,-2.0638331598327975,20071027
1193896800000,-2.0442835792177427,20071101
1194328800000,-2.049035601209118,20071106
1194760800000,-2.102906785174629,20071111
1195192800000,-2.150369940313573,20071116
1195624800000,-2.222842686567813,20071121
1196056800000,-2.2930300514194815,20071126
1196488800000,-2.3774933848308,20071201
1196920800000,-2.43296975905245,20071206
1197352800000,-2.4562113585873173,20071211
1197784800000,-2.4944297776545414,20071216
1198216800000,-2.5332129788452535,20071221
1198648800000,-2.5476952599746077,20071226
1199080800000,-2.551460318127979,20071231
1199512800000,-2.4832171533184124,20080105
1199944800000,-2.435833572814354,20080110
1200376800000,-2.3894361965387083,20080115
1200808800000,-2.3437677888681394,20080120
1201240800000,-2.2969009191407386,20080125
1201672800000,-2.1990861807360096,20080130
1202104800000,-2.1172861878374953,20080204
1202536800000,-2.0594287178567785,20080209
1202968800000,-2.0054269923104173,20080214
1203400800000,-1.9636533322022762,20080219
1203832800000,-1.8542382609273373,20080224
1204264800000,-1.803687903615704,20080229
1204696800000,-1.8238025079519262,20080305
1205128800000,-1.8515349572638082,20080310
1205560800000,-1.8640446201936591,20080315
1205992800000,-1.853271425301056,20080320
1206424800000,-1.9197791397172574,20080325
1206856800000,-1.9794290488098958,20080330
1207288800000,-2.035168627608559,20080404
1207720800000,-2.098333134711601,20080409
1208152800000,-2.1719782107997894,20080414
1208584800000,-2.2716881758836425,20080419
1209016800000,-2.386465367698124,20080424
1209448800000,-2.513966509059752,20080429
1209880800000,-2.651113609712562,20080504
1210312800000,-2.7889005938380182,20080509
1210744800000,-2.9362408499840535,20080514
1211176800000,-3.073022276610693,20080519
1211608800000,-3.1961281364289706,20080524
1212040800000,-3.2554695427727074,20080529
1212472800000,-3.3099799862707537,20080603
1212904800000,-3.3476885790716464,20080608
1213336800000,-3.3677788637302344,20080613
1213768800000,-3.362468964210877,20080618
1214200800000,-3.3743575055653614,20080623
1214632800000,-3.43436860567555,20080628
1215064800000,-3.4822517450850596,20080703
1215496800000,-3.512719592526931,20080708
1215928800000,-3.517187784074454,20080713
1216360800000,-3.4919559453912274,20080718
1216792800000,-3.4655883254846813,20080723
1217224800000,-3.4290271466349007,20080728
1217656800000,-3.388207229213675,20080802
1218088800000,-3.34290030944122,20080807
1218520800000,-3.3081209948588643,20080812
1218952800000,-3.291224303269889,20080817
1219384800000,-3.2763650828712034,20080822
1219816800000,-3.2588842019455377,20080827
1220248800000,-3.244324361440859,20080901
1220680800000,-3.233647578586496,20080906
1221112800000,-3.2281146221135013,20080911
1221544800000,-3.233384868108602,20080916
1221976800000,-3.2457824001066866,20080921
1222408800000,-3.2733766868037626,20080926
1222840800000,-3.3026896397698766,20081001
1223272800000,-3.2504433869058147,20081006
1223704800000,-3.2050973872269446,20081011
1224136800000,-3.1756939122091254,20081016
1224568800000,-3.159586128398319,20081021
1225000800000,-3.159840541096117,20081026
1225432800000,-3.1552860556133893,20081031
1225864800000,-3.0101723310105837,20081105
1226296800000,-2.8900177997223473,20081110
1226728800000,-2.798508971905493,20081115
1227160800000,-2.7423058085086156,20081120
1227592800000,-2.7082656399001794,20081125
1228024800000,-2.6701843338852225,20081130
1228456800000,-2.7106233947837457,20081205
1228888800000,-2.773918495153735,20081210
1229320800000,-2.8087497239316597,20081215
1229752800000,-2.829969307638446,20081220
1230184800000,-2.7802277868861043,20081225
1230616800000,-2.757699508376787,20081230
1231135200000,-2.739321406625976,20090105
1231567200000,-2.7303472428182127,20090110
1231999200000,-2.7281589023184676,20090115
